CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
40370167,Burgers,1.0,3.5,46.0,40.76157,-73.75924,0.0,2400.0,False
40370168,Bars,2.0,4.0,383.0,40.725925,-74.009489,1130.0,2759.0,True
40370238,Burgers,1.0,2.0,32.0,40.7543055,-73.89782,600.0,2400.0,False
40370356,Coffee & Tea,1.0,3.0,13.0,40.559681,-74.168177,530.0,2300.0,False
40370436,Italian,3.0,4.0,195.0,40.74921,-73.97883,1130.0,2330.0,False
40370463,American (Traditional),2.0,3.0,96.0,40.7741355895996,-73.9640731811523,,,False
40370507,Other,,3.5,31.0,40.7376584711288,-73.9865854218182,1000.0,2500.0,True
40370638,Other,,,,,,,,False
40370766,Other,,,,,,,,False
40370781,Coffee & Tea,1.0,1.5,50.0,40.7806439662566,-73.8023295148741,530.0,2500.0,True
40370856,Performing Arts,2.0,4.0,1110.0,40.73021,-74.00058,1930.0,2530.0,True
40370916,Burgers,1.0,2.0,15.0,40.73675,-73.70957,600.0,2400.0,False
40370917,Burgers,1.0,1.5,9.0,40.6532678685503,-73.9189563319087,,,False
40370939,Italian,2.0,4.0,136.0,40.7445948529884,-73.9490695847509,1200.0,2300.0,False
40370994,Italian,2.0,4.0,51.0,40.63515,-73.96117,1500.0,2400.0,False
40371454,Burgers,2.0,4.0,248.0,40.7586255669594,-73.992970213294,1100.0,2400.0,False
40371614,French,3.0,4.5,147.0,40.77235,-73.73442,1130.0,2130.0,False
40371684,Restaurants,1.0,3.0,6.0,40.63141,-73.98484,,,False
40371718,Breakfast & Brunch,1.0,3.0,59.0,40.7149630483769,-73.9826534964702,600.0,2100.0,False
40371727,Italian,2.0,4.0,176.0,40.610958,-73.9788477,1200.0,2300.0,False
40371805,Other,1.0,3.5,52.0,40.7331327122144,-74.0053177259852,1300.0,2800.0,True
40371906,Bars,1.0,5.0,1.0,40.609511,-73.932163,,,False
40371988,Breakfast & Brunch,2.0,3.0,216.0,40.7576451,-73.7837418,900.0,3300.0,True
40372112,Italian,2.0,3.5,127.0,40.6295974,-74.0284223,1100.0,2300.0,False
40372196,Coffee & Tea,1.0,2.5,29.0,40.827593,-73.8236449,530.0,2500.0,True
40372262,French,3.0,3.5,113.0,40.73728,-74.00591,,,False
40372357,Italian,2.0,3.0,268.0,40.5442334342047,-74.1409821362458,1200.0,2600.0,True
40372417,Pizza,1.0,3.5,146.0,40.774562,-73.958892,,,False
40372422,Burgers,1.0,2.5,67.0,40.7318494706089,-73.8664205069927,0.0,2400.0,False
40372426,Other,,,,,,,,False
40372445,Bakeries,2.0,3.0,635.0,40.7611121,-73.9240205,0.0,2400.0,False
40372466,Breakfast & Brunch,2.0,2.0,19.0,40.7624022,-73.9782725,630.0,1130.0,False
40372485,Other,,,,,,,,False
40372596,Bakeries,1.0,4.5,54.0,40.669479,-73.933616,,,False
40372618,Burgers,1.0,2.5,20.0,40.667957,-73.780271,600.0,2200.0,False
40372631,Pizza,1.0,4.5,58.0,40.8292327076197,-73.8757006824017,1100.0,2300.0,False
40372694,Italian,2.0,3.5,107.0,40.79317,-73.81274,1200.0,2300.0,False
40372971,Other,,3.5,5.0,40.75884,-73.97307,,,False
40373113,Other,,,,,,,,False
40373118,Diners,2.0,2.5,77.0,40.55885,-74.16913,0.0,2400.0,False
40373160,Pizza,1.0,3.0,106.0,40.64337,-73.97771,1100.0,2230.0,False
40373462,Italian,2.0,4.0,156.0,40.7467827,-73.9806507,1130.0,2200.0,False
40373500,Lounges,3.0,4.0,1443.0,40.7629499,-73.98403,1200.0,2400.0,False
40373597,Pizza,1.0,3.5,40.0,40.630966,-74.028259,1100.0,2200.0,False
40373656,Desserts,4.0,4.0,2484.0,40.75071,-73.98652,1200.0,2230.0,False
40373669,Breakfast & Brunch,3.0,4.5,170.0,40.74598,-73.97753,1100.0,2800.0,True
40373794,Dive Bars,1.0,4.0,42.0,40.748572854974,-73.8925004494234,,,False
40373888,Other,,,,,,,,False
40373889,Italian,4.0,4.0,544.0,40.76036,-73.96512,1200.0,2300.0,False
40373909,Coffee & Tea,1.0,2.0,6.0,40.6446711039941,-73.9216482639313,600.0,2600.0,True
40373912,Breakfast & Brunch,2.0,4.0,412.0,40.728647,-73.999383,1100.0,2800.0,True
40373937,Other,,,,,,,,False
40373938,Breakfast & Brunch,2.0,3.0,41.0,40.88046,-73.90412,700.0,2400.0,False
40374088,Thai,2.0,3.5,507.0,40.76071,-73.98652,1130.0,2330.0,False
40374136,Seafood,2.0,3.5,196.0,40.837476,-73.7831385,1130.0,2400.0,False
40374192,Italian,3.0,3.5,230.0,40.7767632368091,-73.9526632086427,1700.0,2400.0,False
40374266,Cafes,2.0,4.0,4.0,40.748718,-73.995666,,,False
40374277,Pubs,2.0,3.5,227.0,40.74966,-73.99498,1100.0,2800.0,True
40374395,Other,,,,,,,,False
40374415,Japanese,3.0,3.5,104.0,40.726,-74.00196,1730.0,2245.0,False
40374460,Coffee & Tea,1.0,1.5,83.0,40.7274559334592,-73.8124072551727,0.0,2400.0,False
40374711,American (Traditional),2.0,3.0,511.0,40.762621,-73.982506,1100.0,2800.0,True
40374814,Other,,,,,,,,False
